A,2,,Établir le modèle de données,X-Y
B,5,A,Assembler les objets et les dépendances entre eux -> grapĥe,Y
C,4,B,Implémenter la recherche d'une recette de fabrication,X
D,4,C,Implémenter la fabrication d'objets,X
E,5,C,Créer l'interface pour combiner des objets,Y
F,2,D-E,Lier les données à l'interface de combinaison,Y
G,2,F,Documenter l'architecture et les algorithmes utilisés,X
H,4,G,Identifier les problèmes de performance,X
I,3,H,Expérimenter et optimiser l'application,X
J,4,E,Créer un menu,Y
K,1,I-J,Rendre les livrables,X-Y
